Station_ID,Daily_Usage,Downtime_Hours,Maintenance_Cost,Requires_Maintenance
1,517,6.0,3240,1
2,517,7.0,3565,1
3,381,6.0,2902,1
4,234,1.0,971,0
5,196,1.0,1150,0
6,284,1.0,1237,0
7,278,1.0,857,0
8,171,1.0,556,0
9,461,4.0,3374,1
10,286,1.0,1027,0
11,602,4.0,3114,1
12,292,2.0,1190,0
13,348,3.0,2011,1
14,597,3.0,3249,1
15,340,2.0,1541,0
16,572,4.0,3214,1
17,535,4.0,3106,1
18,473,4.0,2624,1
19,305,3.0,2155,1
20,279,1.0,1145,0
21,225,2.0,1406,0
22,258,2.0,1406,0
23,401,3.0,2229,1
24,173,1.0,658,0
25,507,3.0,2528,1
26,404,3.0,2111,1
27,300,1.0,1199,0
28,437,4.0,2649,1
29,396,5.0,2985,1
30,348,6.0,2588,1
31,303,1.0,977,0
32,337,1.0,1451,0
33,465,6.0,2940,1
34,293,2.0,1206,0
35,293,5.0,2049,1
36,263,0.5,1144,0
37,244,2.0,902,0
38,366,6.0,2943,1
39,223,1.0,808,0
40,300,1.0,1083,0
41,248,1.0,1201,0
42,431,4.0,2553,1
43,140,1.0,613,0
44,510,5.0,2891,1
45,415,6.0,2857,1
46,237,2.0,907,0
47,242,1.0,820,0
48,159,2.0,936,0
49,386,4.0,2383,1
50,551,5.0,3379,1
51,427,3.0,2649,1
52,352,2.0,1499,0
53,258,2.0,886,0
54,246,1.0,1010,0
55,183,1.0,859,0
56,428,5.0,2822,1
57,200,4.0,1944,1
58,542,5.0,3535,1
59,290,6.0,2528,1
60,301,2.0,1124,0
61,332,1.0,1373,0
62,286,1.0,1161,0
63,500,3.0,3039,1
64,257,2.0,1167,0
65,381,1.0,1554,0
66,442,0.5,1709,0
67,427,3.0,2224,1
68,356,1.0,1532,0
69,180,2.0,813,0
70,368,2.0,1689,0
71,353,5.0,2282,1
72,156,1.0,725,0
73,146,2.0,1013,0
74,319,1.0,1231,0
75,557,4.0,3148,1
76,229,1.0,1081,0
77,596,6.0,3739,1
78,467,4.0,2438,1
79,317,1.0,1173,0
80,389,2.0,1748,0
81,259,4.0,2084,1
82,409,1.0,1505,0
83,348,4.0,2137,1
84,406,5.0,3085,1
85,218,0.5,853,0
86,274,2.0,1344,0
87,244,1.0,763,0
88,263,1.0,960,0
89,284,2.0,1466,0
90,407,6.0,2831,1
91,252,2.0,993,0
92,383,4.0,2381,1
93,626,6.0,3825,1
94,272,5.0,1657,1
95,475,3.0,2816,1
96,448,6.0,3179,1
97,246,2.0,1054,0
98,226,7.0,2674,1
99,327,1.0,1439,0
100,232,0.5,889,0
101,219,1.0,960,0
102,199,2.0,882,0
103,352,1.0,1297,0
104,259,1.0,834,0
105,529,3.0,3054,1
106,200,7.0,2420,1
107,444,3.0,2534,1
108,445,5.0,2768,1
109,335,1.0,1376,0
110,264,2.0,1068,0
111,299,3.0,1600,1
112,467,4.0,2745,1
113,553,7.0,3673,1
114,475,5.0,2968,1
115,199,1.0,1085,0
116,387,3.0,2290,1
117,348,1.0,1449,0
118,407,3.0,2721,1
119,329,2.0,1311,0
120,447,4.0,2777,1
121,284,2.0,1391,0
122,359,1.0,1433,0
123,278,5.0,2096,1
124,293,1.0,934,0
125,374,2.0,1432,0
126,240,0.5,1090,0
127,225,1.0,1048,0
128,378,1.0,1568,0
129,383,2.0,1608,0
130,246,2.0,1126,0
131,267,4.0,1600,1
132,515,6.0,3178,1
133,325,1.0,1219,0
134,192,2.0,982,0
135,364,6.0,2688,1
136,473,3.0,2861,1
137,441,4.0,2889,1
138,316,2.0,1319,0
139,367,3.0,1905,1
140,205,1.0,649,0
141,247,2.0,1053,0
142,361,6.0,2932,1
143,212,3.0,1735,1
144,411,6.0,3074,1
145,386,4.0,2503,1
146,317,5.0,2417,1
147,240,1.0,991,0
148,205,1.0,831,0
149,421,3.0,2631,1
150,333,4.0,2029,1
151,295,1.0,1249,0
152,246,1.0,907,0
153,397,6.0,2780,1
154,311,5.0,2321,1
155,241,1.0,1070,0
156,194,2.0,891,0
157,336,1.0,1215,0
158,470,2.0,1900,0
159,359,2.0,1765,0
160,366,6.0,2853,1
161,305,2.0,1461,0
162,533,3.0,3029,1
163,287,1.0,1191,0
164,443,5.0,2769,1
165,380,5.0,2331,1
166,499,4.0,2962,1
167,405,4.0,2355,1
168,191,1.0,774,0
169,221,1.0,939,0
170,390,4.0,2341,1
171,427,6.0,2846,1
172,392,4.0,2339,1
173,416,3.0,2403,1
174,388,5.0,2642,1
175,486,7.0,3828,1
176,454,6.0,3274,1
177,313,4.0,1965,1
